timestamp,tcp_cnt,udp_cnt,other_cnt,size_under_100_bytes,size_under_1200_bytes,size_over_1200_bytes
2019-08-03 00:45:05:852548,12,0,0,12,0,0
2019-08-03 00:45:10:883661,30,1,0,31,0,0
2019-08-03 00:45:16:290002,15,0,0,15,0,0
2019-08-03 00:45:24:254459,7,1,0,8,0,0
2019-08-03 00:45:36:101900,2,2,0,4,0,0
2019-08-03 00:45:53:679600,1,1,0,2,0,0
2019-08-03 00:46:04:254494,2,3,0,5,0,0
2019-08-03 00:46:23:647951,0,2,0,2,0,0
2019-08-03 00:46:53:661528,4,3,0,7,0,0
2019-08-03 00:47:38:004194,0,2,0,2,0,0
2019-08-03 00:47:50:857922,2,3,0,5,0,0
2019-08-03 00:48:00:047549,5,2,0,7,0,0
2019-08-03 00:48:12:886431,6,2,0,8,0,0
2019-08-03 00:48:42:642830,0,2,0,2,0,0
2019-08-03 00:49:04:060653,0,3,0,3,0,0
2019-08-03 00:49:12:039655,0,2,0,2,0,0
2019-08-03 00:49:36:524900,0,2,0,2,0,0
2019-08-03 00:49:52:218232,5,5,1,11,0,0
2019-08-03 00:50:34:066137,1,1,0,2,0,0
2019-08-03 00:50:56:254692,1,3,0,4,0,0
2019-08-03 00:51:07:131423,1,1,0,2,0,0
2019-08-03 00:51:43:191659,2,2,0,4,0,0
2019-08-03 00:52:00:049206,0,2,0,2,0,0
2019-08-03 00:52:13:217666,1,2,0,3,0,0
2019-08-03 00:53:04:074002,0,5,0,5,0,0
2019-08-03 00:53:34:453787,0,4,1,5,0,0
2019-08-03 00:54:18:550876,0,2,1,3,0,0
2019-08-03 00:54:34:077016,1,3,0,4,0,0
2019-08-03 00:54:44:595269,1,3,0,4,0,0
2019-08-03 00:55:24:710185,0,2,0,2,0,0
2019-08-03 00:55:35:768372,0,3,0,3,0,0
2019-08-03 00:56:00:046422,0,3,0,3,0,0
2019-08-03 00:56:45:914312,3,5,0,7,0,1
